iter	Passed	Remaining
650	1518	814
651	1519	811
652	1524	810
653	1527	807
654	1529	805
655	1531	803
656	1533	800
657	1535	797
658	1538	796
659	1541	793
660	1542	791
661	1544	788
662	1545	785
663	1547	782
664	1549	780
665	1555	780
666	1557	777
667	1559	774
668	1560	772
669	1562	769
670	1564	767
671	1570	766
672	1572	764
673	1574	761
674	1576	759
675	1578	756
676	1580	754
677	1584	752
678	1586	750
679	1588	747
680	1590	744
681	1592	742
682	1593	739
683	1595	737
684	1602	737
685	1605	734
686	1607	732
687	1609	729
688	1611	727
689	1621	728
690	1623	725
691	1625	723
692	1627	720
693	1634	720
694	1636	718
695	1638	715
696	1640	713
697	1642	710
698	1647	709
699	1650	707
700	1652	704
701	1653	702
702	1655	699
703	1656	696
704	1660	694
705	1664	693
706	1665	690
707	1667	687
708	1669	685
709	1670	682
710	1672	679
711	1676	678
712	1678	675
713	1680	673
714	1681	670
715	1683	667
716	1684	664
717	1686	662
718	1687	659
719	1693	658
720	1695	656
721	1697	653
722	1699	650
723	1700	648
724	1702	645
725	1704	643
726	1709	641
727	1710	639
728	1712	636
729	1714	634
730	1715	631
731	1717	628
732	1719	626
733	1722	624
734	1724	621
735	1725	619
736	1727	616
737	1728	613
738	1730	611
739	1732	608
740	1733	606
741	1738	604
742	1740	602
743	1742	599
744	1743	596
745	1745	594
746	1746	591
747	1748	589
748	1752	587
749	1754	584
750	1756	582
751	1757	579
752	1759	577
753	1760	574
754	1762	571
755	1764	569
756	1767	567
757	1768	564
758	1770	562
759	1772	559
760	1774	557
761	1775	554
762	1777	552
763	1779	549
764	1784	548
765	1786	545
766	1787	543
767	1789	540
768	1791	538
769	1792	535
770	1795	533
771	1799	531
772	1800	528
773	1801	526
774	1803	523
775	1806	521
776	1808	518
777	1812	517
778	1814	514
779	1816	512
780	1817	509
781	1819	507
782	1820	504
783	1822	502
784	1823	499
785	1829	498
786	1831	495
787	1833	493
788	1834	490
789	1836	488
790	1838	485
791	1843	484
792	1845	481
793	1846	479
794	1847	476
795	1849	474
796	1851	471
797	1853	469
798	1856	466
799	1857	464
800	1859	462
801	1861	459
802	1863	457
803	1864	454
804	1866	452
805	1867	449
806	1872	447
807	1875	445
808	1877	443
809	1878	440
810	1880	438
811	1881	435
812	1884	433
813	1889	431
814	1891	429
815	1892	426
816	1894	424
817	1895	421
818	1897	419
819	1898	416
820	1902	414
821	1904	412
822	1905	409
823	1907	407
824	1909	404
825	1910	402
826	1912	400
827	1913	397
828	1920	396
829	1922	393
830	1924	391
831	1926	389
832	1928	386
833	1930	384
834	1935	382
835	1937	380
836	1938	377
837	1940	375
838	1941	372
839	1943	370
840	1948	368
841	1950	366
842	1952	363
843	1954	361
844	1955	358
845	1957	356
846	1958	353
847	1965	352
848	1966	349
849	1968	347
850	1969	344
851	1971	342
852	1972	339
853	1974	337
854	1978	335
855	1981	333
856	1982	330
857	1984	328
858	1985	325
859	1986	323
860	1988	321
861	1992	318
862	1993	316
863	1995	314
864	1996	311
865	1998	309
866	1999	306
867	2001	304
868	2003	302
869	2005	299
870	2011	297
871	2013	295
872	2015	293
873	2017	290
874	2019	288
875	2025	286
876	2027	284
877	2029	282
878	2031	279
879	2032	277
880	2034	274
881	2039	272
882	2041	270
883	2042	268
884	2044	265
885	2046	263
886	2047	260
887	2049	258
888	2053	256
889	2057	254
890	2058	251
891	2060	249
892	2062	247
893	2064	244
894	2070	242
895	2073	240
896	2075	238
897	2077	235
898	2079	233
899	2084	231
900	2087	229
901	2089	226
902	2090	224
903	2092	222
904	2093	219
905	2095	217
906	2103	215
907	2105	213
908	2107	210
909	2109	208
910	2110	206
911	2117	204
912	2119	201
913	2121	199
914	2122	197
915	2124	194
916	2125	192
917	2129	190
918	2130	187
919	2132	185
920	2134	183
921	2135	180
922	2137	178
923	2139	175
924	2140	173
925	2146	171
926	2148	169
927	2150	166
928	2152	164
929	2154	162
930	2156	159
931	2161	157
932	2163	155
933	2165	152
934	2166	150
935	2168	148
936	2169	145
937	2173	143
938	2175	141
939	2177	138
940	2179	136
941	2180	134
942	2182	131
943	2183	129
944	2185	127
945	2188	124
946	2193	122
947	2194	120
948	2196	118
949	2197	115
950	2199	113
951	2201	111
952	2207	108
953	2209	106
954	2210	104
955	2212	101
956	2214	99
957	2216	97
958	2220	94
959	2221	92
960	2223	90
961	2225	87
962	2227	85
963	2230	83
964	2238	81
965	2241	78
966	2245	76
967	2258	74
968	2261	72
969	2272	70
970	2273	67
971	2276	65
972	2278	63
973	2290	61
974	2293	58
975	2302	56
976	2304	54
977	2307	51
978	2309	49
979	2315	47
980	2317	44
981	2320	42
982	2324	40
983	2334	37
984	2337	35
985	2340	33
986	2350	30
987	2353	28
988	2355	26
989	2356	23
990	2358	21
991	2362	19
992	2363	16
993	2365	14
994	2366	11
995	2368	9
996	2371	7
997	2372	4
998	2377	2
999	2380	0
